규칙,청산,진입,n,승률,PF,평균%,누적%,MDD,흑자월,무작위PF,무작위max,초과,점수
페이드20,1.0/2.0/144,시장가,1086,42.173112338858196,0.9444261503981866,-0.02987261643818687,-33.00618697848421,-41.03708065406393,4/13,0.8036184251531884,0.8228884875068929,0.12153766289129364,0.12153766289129364
페이드20,1.0/2.0/144,지정가,1052,41.73003802281369,0.9293905782315406,-0.0380321241906565,-37.70013885731207,-52.28364423464262,5/13,0.9009569678282313,0.9221989368975788,0.0071916413339617735,0.0071916413339617735
페이드20,1.0/3.0/288,시장가,711,32.77074542897328,0.8703469393730933,-0.0903691596339217,-51.42341866045385,-59.0482202516059,5/13,0.8505324520285766,0.8849548002205884,-0.014607860847495102,-0.014607860847495102
페이드20,1.0/3.0/288,지정가,688,34.01162790697674,0.958647914478752,-0.027453557694674287,-23.52392327015781,-48.42965618247681,6/13,0.9294869570559173,1.0021764565753324,-0.043528542096580414,-0.043528542096580414
페이드20,1.5/3.0/288,시장가,557,42.72890484739677,0.9793678421897571,-0.015945025519689012,-15.875665856389553,-43.68406541381824,5/13,0.8752540712665643,0.9555952069338677,0.023772635255889463,0.023772635255889463
페이드20,1.5/3.0/288,지정가,538,42.75092936802974,1.063872057638786,0.048520512104150176,19.1821778128614,-43.47859724303389,8/13,0.9581768284424124,0.9831345552801768,0.0807375023586091,0.0807375023586091
페이드20,1.5/4.5/576,시장가,352,33.23863636363637,0.8790792717901825,-0.11987105357568022,-39.60980469800162,-59.13495968111915,3/13,0.9186143334991046,0.9445262722646695,-0.06544700047448693,-0.06544700047448693
페이드20,1.5/4.5/576,지정가,336,38.98809523809524,1.1969638365344673,0.17748438457307109,65.88336878391759,-38.65617204535104,9/13,0.9443036337212988,1.1067943692126552,0.09016946732181208,0.09016946732181208
페이드20,2.0/4.0/576,시장가,313,45.04792332268371,1.1557304385632317,0.1620341198461763,50.619109272752596,-27.75882364989599,8/13,0.9595055318620179,1.029435886062327,0.1262945525009047,0.1262945525009047
페이드20,2.0/4.0/576,지정가,315,41.904761904761905,1.0350630807933408,0.038863559993849224,2.51417262774849,-48.929562821816134,8/13,0.8794496354924238,0.9866126030061347,0.048450477787206014,0.048450477787206014
페이드20+미국장,1.0/2.0/144,시장가,490,42.6530612244898,0.8835418755447428,-0.06430891294987291,-29.444363978202816,-38.21617518311241,7/13,0.8412254211721916,0.9169940357976655,-0.033452160252922636,-0.033452160252922636
페이드20+미국장,1.0/2.0/144,지정가,469,40.72494669509595,0.8263578006099017,-0.09919004808649315,-39.17366950359449,-41.09294813894743,3/13,0.8182315196866637,0.8774239372753065,-0.05106613666540483,-0.05106613666540483
페이드20+미국장,1.0/3.0/288,시장가,439,36.21867881548975,0.9743940588018705,-0.01655217792432254,-11.389635110056595,-24.971954372424186,7/13,0.8126285130840648,0.9074168628943322,0.06697719590753826,0.06697719590753826
페이드20+미국장,1.0/3.0/288,지정가,411,32.846715328467155,0.8603587305423336,-0.0941348459186985,-34.96140684655392,-40.92968169153437,4/13,0.7766853985303707,0.9627724928760427,-0.10241376233370914,-0.10241376233370914
페이드20+미국장,1.5/3.0/288,시장가,391,42.96675191815857,0.9395866702815358,-0.04618096359684179,-21.06490334776171,-34.223952611122876,4/13,0.8427371357640453,0.9138408066408378,0.025745863640697975,0.025745863640697975
페이드20+미국장,1.5/3.0/288,지정가,366,40.98360655737705,0.9073944314960198,-0.07290785104817474,-27.393501737653224,-36.49560359112102,5/13,0.8224575649782907,0.9427312856840843,-0.035336854188064426,-0.035336854188064426
페이드20+미국장,1.5/4.5/576,시장가,269,34.572490706319705,0.9678666784697406,-0.03161954933287336,-14.030303457238158,-29.731404967963172,5/13,0.8347611672176006,0.9860451227180295,-0.01817844424828885,-0.01817844424828885
페이드20+미국장,1.5/4.5/576,지정가,259,33.204633204633204,0.8650737841695008,-0.1332416820048813,-33.222847769454624,-39.01862062289519,5/13,0.8658478517324225,1.0288076855358093,-0.1637339013663085,-0.1637339013663085
